key                                                    '$'                                                    '('                                                    ')'                                                    '+'                                                    '-'                                                    ';'                                                    'addop'                                                'float'                                                'id'                                                   'if'                                                   'int'                                                  'mulop'                                                'num'                                                  'relop'                                                'while'                                                '}'                                                    

ASSIGNMENT                                             sync                                                   error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  sync                                                   'id' 'assign' EXPRESSION ';'                           sync                                                   sync                                                   error                                                  error                                                  error                                                  sync                                                   sync                                                   

DECLARATION                                            sync                                                   error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  PRIMITIVE_TYPE 'id' ';'                                sync                                                   sync                                                   PRIMITIVE_TYPE 'id' ';'                                error                                                  error                                                  error                                                  sync                                                   sync                                                   

EXPRESSION                                             error                                                  SIMPLE_EXPRESSION EXPRESSION`                          sync                                                   SIMPLE_EXPRESSION EXPRESSION`                          SIMPLE_EXPRESSION EXPRESSION`                          sync                                                   error                                                  error                                                  SIMPLE_EXPRESSION EXPRESSION`                          error                                                  error                                                  error                                                  SIMPLE_EXPRESSION EXPRESSION`                          error                                                  error                                                  error                                                  

EXPRESSION`                                            error                                                  error                                                  '\L'                                                   error                                                  error                                                  '\L'                                                   error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  'relop' SIMPLE_EXPRESSION                              error                                                  error                                                  

FACTOR                                                 error                                                  '(' EXPRESSION ')'                                     sync                                                   error                                                  error                                                  sync                                                   sync                                                   error                                                  'id'                                                   error                                                  error                                                  sync                                                   'num'                                                  sync                                                   error                                                  error                                                  

IF                                                     sync                                                   error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  sync                                                   sync                                                   'if' '(' EXPRESSION ')' '{' STATEMENT '}' 'else' '{' STATEMENT '}'sync                                                   error                                                  error                                                  error                                                  sync                                                   sync                                                   

METHOD_BODY                                            sync                                                   error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  STATEMENT_LIST                                         STATEMENT_LIST                                         STATEMENT_LIST                                         STATEMENT_LIST                                         error                                                  error                                                  error                                                  STATEMENT_LIST                                         error                                                  

PRIMITIVE_TYPE                                         error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  'float'                                                sync                                                   error                                                  'int'                                                  error                                                  error                                                  error                                                  error                                                  error                                                  

SIGN                                                   error                                                  sync                                                   error                                                  '+'                                                    '-'                                                    error                                                  error                                                  error                                                  sync                                                   error                                                  error                                                  error                                                  sync                                                   error                                                  error                                                  error                                                  

SIMPLE_EXPRESSION                                      error                                                  TERM SIMPLE_EXPRESSION`                                sync                                                   SIGN TERM SIMPLE_EXPRESSION`                           SIGN TERM SIMPLE_EXPRESSION`                           sync                                                   error                                                  error                                                  TERM SIMPLE_EXPRESSION`                                error                                                  error                                                  error                                                  TERM SIMPLE_EXPRESSION`                                sync                                                   error                                                  error                                                  

SIMPLE_EXPRESSION`                                     error                                                  error                                                  '\L'                                                   error                                                  error                                                  '\L'                                                   'addop' TERM SIMPLE_EXPRESSION`                        error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  '\L'                                                   error                                                  error                                                  

STATEMENT                                              sync                                                   error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  DECLARATION                                            ASSIGNMENT                                             IF                                                     DECLARATION                                            error                                                  error                                                  error                                                  WHILE                                                  sync                                                   

STATEMENT_LIST                                         sync                                                   error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  STATEMENT STATEMENT_LIST`                              STATEMENT STATEMENT_LIST`                              STATEMENT STATEMENT_LIST`                              STATEMENT STATEMENT_LIST`                              error                                                  error                                                  error                                                  STATEMENT STATEMENT_LIST`                              error                                                  

STATEMENT_LIST`                                        '\L'                                                   error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  STATEMENT STATEMENT_LIST`                              STATEMENT STATEMENT_LIST`                              STATEMENT STATEMENT_LIST`                              STATEMENT STATEMENT_LIST`                              error                                                  error                                                  error                                                  STATEMENT STATEMENT_LIST`                              error                                                  

TERM                                                   error                                                  FACTOR TERM`                                           sync                                                   error                                                  error                                                  sync                                                   sync                                                   error                                                  FACTOR TERM`                                           error                                                  error                                                  error                                                  FACTOR TERM`                                           sync                                                   error                                                  error                                                  

TERM`                                                  error                                                  error                                                  '\L'                                                   error                                                  error                                                  '\L'                                                   '\L'                                                   error                                                  error                                                  error                                                  error                                                  'mulop' FACTOR TERM`                                   error                                                  '\L'                                                   error                                                  error                                                  

WHILE                                                  sync                                                   error                                                  error                                                  error                                                  error                                                  error                                                  error                                                  sync                                                   sync                                                   sync                                                   sync                                                   error                                                  error                                                  error                                                  'while' '(' EXPRESSION ')' '{' STATEMENT '}'           sync                                                   
